Comment,Stars
  Very light weight not very sturdy but very expensive for this quality,3.8 out of 5 stars
If you get it under 700 only then think to buy (btw I bought it for ₹999),4.0 out of 5 stars
"  Nice finished product, lightweight, easy to handle.",1.0 out of 5 stars
  Recieved damaged product...gonna return it,3.0 out of 5 stars
  it is not sturdy enough,5.0 out of 5 stars
  I have to fix with fevicol,2.0 out of 5 stars
  The product feel is good but it is little shaking when placed on a plain surface.,4.0 out of 5 stars
  Good for kids desk. Very nice and perfect . Good Quality,3.0 out of 5 stars
  Very much helpful foe WFH situation,3.0 out of 5 stars
.Good product value for money,4.0 out of 5 stars
  Easy to fold,5.0 out of 5 stars
"  Product is ok, not very stable.",3.0 out of 5 stars
  Nice,3.8 out of 5 stars
  Height is very less,3.8 out of 5 stars
  Good but cost is bit high,4.0 out of 5 stars
  Good buy!,1.0 out of 5 stars
  Product is worth having,5.0 out of 5 stars
  Best for Laptop,5.0 out of 5 stars
  Dislike,4.0 out of 5 stars
  Its really worth the price,5.0 out of 5 stars
  Very good quality,5.0 out of 5 stars
  Good product,1.0 out of 5 stars
  Good product,5.0 out of 5 stars
"  Light weight, durable,little less sturdy sturdy but that's okay",4.0 out of 5 stars
  awesome prodcut.,1.0 out of 5 stars
  not very strong,1.0 out of 5 stars
  Nice products,5.0 out of 5 stars
  Good product.,5.0 out of 5 stars
  Cute,3.0 out of 5 stars
  Good product,5.0 out of 5 stars
  Damaged from side not good quality,5.0 out of 5 stars
  Very Good,5.0 out of 5 stars
  Received cracked table.,3.8 out of 5 stars
  This is so good table.,4.0 out of 5 stars
  Overall good go for it,1.0 out of 5 stars
  Meets my purpose. Especially in this work from home time,1.0 out of 5 stars
  Good quality 👌,5.0 out of 5 stars
  The product quality is very low. Don’t think it would last even a week if used by kids.,5.0 out of 5 stars
  Perfectly fits for a WFH office.,4.0 out of 5 stars
  Awesome for children and adults,5.0 out of 5 stars
  Good,1.0 out of 5 stars
  Received damaged. Not that useful on bed as it is not still but shakes alot.,5.0 out of 5 stars
  Value to buy,3.8 out of 5 stars
  Not as per expectation,4.0 out of 5 stars
  Soo goog perfect for studying,1.0 out of 5 stars
  Amazing product..go for it,5.0 out of 5 stars
  Looks reliable and value for money.,1.0 out of 5 stars
  Very good product. Nice finishing..,5.0 out of 5 stars
  Good product,5.0 out of 5 stars
  OK OK,5.0 out of 5 stars
  Good product,5.0 out of 5 stars
  Nice product,4.0 out of 5 stars
  Good,3.8 out of 5 stars
  Product is not good,4.0 out of 5 stars
  Table is good.,1.0 out of 5 stars
  Nice product,5.0 out of 5 stars
  Excellent,1.0 out of 5 stars
  Good product!!,5.0 out of 5 stars
  Good product.,5.0 out of 5 stars
  Nice one.,5.0 out of 5 stars
  Positive Part 👍,4.0 out of 5 stars
"Product is good, looking good, very lite weight and usable but little costly, overall good.",5.0 out of 5 stars
Negative Part 👎,5.0 out of 5 stars
"It can break easily as board part is lite quality and in the back side thy have used plastic for folding, thy used normal foam on aluminium it will be rip soon.",3.0 out of 5 stars
It should be 500-600max,3.0 out of 5 stars
  Nice product and worth of money,3.8 out of 5 stars
"  Not sturdy,material used is not durable,finish is not good",4.0 out of 5 stars
  Please change this product. I opened it today as it was a b'day gift but this is damaged.,1.0 out of 5 stars
"  Light weight, easy to carry and specially its delight to work from home, amazing",5.0 out of 5 stars
  It's good table.. But it's little costly .you can find cheaper deal in other App.but at last good..,3.0 out of 5 stars
  Arrived with a crack,1.0 out of 5 stars
  Good product.,5.0 out of 5 stars
  Good quality,4.0 out of 5 stars
  It is excellent product.,2.0 out of 5 stars
  Finishing is not good. There are cracks in between. Not worth Rs.999,4.0 out of 5 stars
"  Product is good n worthy ,very usefull. Multi purpose",3.8 out of 5 stars
"  When received the product, found the edges damaged. Though the product is light weight, it is not sturdy. The wood finish mica sheet may not be durable.",4.0 out of 5 stars
  The product is excellent very comfortable,1.0 out of 5 stars
  Very wrost product waist money dont buy anyone table legs very poor &breakble,5.0 out of 5 stars
  Very nice one truely,1.0 out of 5 stars
  The product delivered was good. The table is a bit shaky due to imbalance in stands. Overall the product is a bit expensive as compared to the price.,5.0 out of 5 stars
  This  table is really Good .........,1.0 out of 5 stars
Colour is amazing......,5.0 out of 5 stars
Good quality as per price.....,5.0 out of 5 stars
  I am not satisfied...little broken sarmica.,5.0 out of 5 stars
"  The surface was cracked on delivery. However, the produc is very good.. have asked for replacement",3.0 out of 5 stars
  I got the product as it is as shown in the picture and quality sturdiness is as mentioned in the product details.,1.0 out of 5 stars
  Made in China item. Low quality stuff,3.8 out of 5 stars
"  good product for the price, looks premium, also durable",4.0 out of 5 stars
  Very effective worth buying,1.0 out of 5 stars
  Very bad  and worthless product,1.0 out of 5 stars
  Comfortable to work from home.,5.0 out of 5 stars
  Good product,5.0 out of 5 stars
  Good,1.0 out of 5 stars
  Product is good and strong. But lil finishing fault at side. The strip at side lil came out. Please ensure this for next orders.,4.0 out of 5 stars
  The product finish is really good. It is extremely light weight but not very sturdy. My kids found it very good for their studies. But I am not a 100% sure if I will use my laptop on it. I primarily bought it for the kids to study and it serves the purpose well.,3.8 out of 5 stars
"  Inferior product, laptop will fall it dosent have stable structural alignment not recommended for long sitting use",4.0 out of 5 stars
Highly unstable/. Search for better product dont waist your time ... still if u buy  god bless u 😁😁😁,1.0 out of 5 stars
  The size is big but comfortable. material used is of cheap quality and not sure how long it will last. so far the look and feel is good.... Pait on the edges is easily removed...,4.0 out of 5 stars
  Satisfied with the product received. The delivery was fast considering the pandemic situation. Good buy for the price. It's durable but lightweight. Has ample space to work with.,1.0 out of 5 stars
  d cup holder n tablet holder comes out i hv to use glue to fix it other than gd product as i have 8 mnts bby so der r no sharp corners over all a gd product,3.0 out of 5 stars
"  I liked the product's sturdiness, its lightweight and it is durable. I liked the colour of the product (black).",5.0 out of 5 stars
"The only thing i disliked was the cup holder socket, it was loose.",4.0 out of 5 stars
Overall i really liked the product and would surely recommend buying.,4.0 out of 5 stars
  Quality of the product seems to be really good but the packaging was not neat enough due to which I received the damaged Product.,2.0 out of 5 stars
Wanted to directly replace it with a new one but unfortunately was not provided with that option.,1.0 out of 5 stars
"  The table has a crack on the side, I liked the finishing though so placing for a replacement",4.0 out of 5 stars
  I wanted a table like this for a long time. And I got one now. Really good. Light weight but sturdy. I got it for 999. Worth the price I guess. Because I just got it now have tocheck its durability as time pass. Hope it will do good. I recommend.,5.0 out of 5 stars
